CK Langeveldt,South Africa,9,72,71,3489,2962,100,5/39,29.62,5.09,34.8,1,2
RW Price,Zimbabwe,10,102,99,5374,3575,100,4/22,35.75,3.99,53.7,1,0
NJ Astle,New Zealand,12,223,159,4850,3809,99,4/43,38.47,4.71,48.9,1,0
Kuldeep Yadav,India,2,56,54,2952,2455,99,6/25,24.79,4.98,29.8,4,1
CJ McKay,Australia,5,59,59,2965,2364,97,5/28,24.37,4.78,30.5,4,2
PL Taylor,Australia,5,83,80,3937,2740,97,4/38,28.24,4.17,40.5,1,0
N Boje,South Africa,10,115,108,4541,3415,96,5/21,35.57,4.51,47.3,2,1
PJ Cummins,Australia,8,58,58,3033,2603,96,5/70,27.11,5.14,31.5,5,1
JP Faulkner,Australia,4,69,67,3211,2962,96,4/32,30.85,5.53,33.4,4,0
V Sehwag,India,14,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0
PA Strang,Zimbabwe,7,95,89,4351,3173,96,5/21,33.05,4.37,45.3,2,2
TL Chatara,Zimbabwe,6,70,70,3431,2905,95,4/33,30.57,5.08,36.1,1,0
PS de Villiers,South Africa,5,83,82,4422,2636,95,4/27,27.74,3.57,46.5,2,0
AJ Hall,South Africa,8,88,78,3341,2515,95,5/18,26.47,4.51,35.1,3,1
WD Parnell,South Africa,8,65,61,2911,2738,94,5/48,29.12,5.64,30.9,3,2
SO Tikolo,Afr/KENYA,18,135,99,4016,3215,94,4/41,34.2,4.8,42.7,2,0
LL Tsotsobe,South Africa,4,61,60,2964,2347,94,4/22,24.96,4.75,31.5,7,0
MJ Henry,New Zealand,5,52,50,2703,2437,92,5/30,26.48,5.4,29.3,7,2
SP Narine,West Indies,5,65,65,3540,2435,92,6/27,26.46,4.12,38.4,4,2
AC Cummins,West Indies,16,76,74,3767,2877,91,5/31,31.61,4.58,41.3,2,1
CB Mpofu,Zimbabwe,15,83,82,3900,3513,91,6/52,38.6,5.4,42.8,2,1
BP Patterson,West Indies,7,59,58,3050,2206,90,6/29,24.51,4.33,33.8,1,1
BL Cairns,New Zealand,11,78,75,4015,2717,89,5/28,30.52,4.06,45.1,2,1
GH Dockrell,Ireland,9,87,85,4232,3327,89,4/24,37.38,4.71,47.5,4,0
Saleem Malik,Pakisthan,17,283,120,3505,2959,89,5/35,33.24,5.06,39.3,1,1
MN Samuels,West Indies,18,207,134,5091,4127,89,3/12,46.37,4.86,57.2,0,0
TM Alderman,Australia,10,65,65,3371,2056,88,5/17,23.36,3.65,38.3,1,2
GF Lawson,Australia,9,79,79,4259,2592,88,4/26,29.45,3.65,48.3,1,0
GJ Whittall,Zimbabwe,10,147,112,4060,3481,88,4/35,39.55,5.14,46.1,1,0
AME Roberts,West Indies,8,56,56,3123,1771,87,5/22,20.35,3.4,35.8,2,1
MM Patel,India,5,70,67,3154,2603,86,4/29,30.26,4.95,36.6,3,0
Aamer Sohail,Pakisthan,10,156,125,4836,3703,85,4/22,43.56,4.59,56.8,1,0
YS Chahal,India,3,50,49,2659,2246,85,6/42,26.42,5.06,31.2,2,2
IJ Harvey,Australia,7,73,70,3279,2577,85,4/16,30.31,4.71,38.5,4,0
RM Hogg,Australia,6,71,67,3677,2418,85,4/29,28.44,3.94,43.2,5,0
JR Ratnayeke,Sri Lanka,8,78,76,3573,2866,85,4/23,33.71,4.81,42.0,1,0
ME Waugh,Australia,14,244,120,3687,2938,85,5/24,34.56,4.78,43.3,1,1
