DE Budge,SCOT,0,6,6,4,4,0,0
RW Chakabva,Zimbabwe,11,12,12,4,4,0,0
TL Chatara,Zimbabwe,9,21,21,4,4,0,0
JW Chilia,VAN,0,14,14,4,4,0,0
K Christie,HKG,0,11,11,4,4,0,0
SR Clark,Australia,1,9,9,4,4,0,0
DDP D'Silva,UAE,0,10,10,4,4,0,0
DAP Darrell,Bermuda,0,11,11,4,4,0,0
TN de Grooth,NL,5,15,14,4,4,0,0
DM de Silva,Sri Lanka,4,13,13,4,4,0,0
PWH de Silva,Sri Lanka,0,8,8,4,4,0,0
S Dhaniram,CAN,2,11,11,4,4,0,0
S Dube,India,0,6,6,4,4,0,0
Ehsan Khan,HKG,3,15,15,4,4,0,0
Elias Sunny,Bangladesh,0,7,7,4,4,0,0
