BE Hendricks,South Africa,5,11,11,38.1,0,317,18,4/14,17.61,8.3,12.7,1,0
HMRKB Herath,Sri Lanka,5,17,17,60.5,3,373,18,5/3,20.72,6.13,20.2,0,1
Izatullah Dawlatzai,Afganisthan,7,14,14,50.4,0,345,18,3/23,19.16,6.8,16.8,0,0
MA Leask,SCOT,6,31,22,59.3,0,499,18,3/20,27.72,8.38,19.8,0,0
Nouman Sarwar,QAT,0,14,13,34.5,1,267,18,4/14,14.83,7.66,11.6,1,0
K Santokie,West Indies,3,12,12,40.5,0,278,18,4/21,15.44,6.8,13.6,1,0
SB Styris,New Zealand,5,31,21,51.3,0,349,18,3/5,19.38,6.77,17.1,0,0
SR Thompson,Ireland,5,41,30,79.0,0,670,18,4/18,37.22,8.48,26.3,1,0
LL Tsotsobe,South Africa,5,23,23,78.0,2,541,18,3/16,30.05,6.93,26.0,0,0
HA Varaiya,KENYA,6,25,24,77.2,2,461,18,2/10,25.61,5.96,25.7,0,0
LJ Wright,England,7,51,23,55.0,0,465,18,2/24,25.83,8.45,18.3,0,0
Zeeshan Maqsood,OMAN,4,29,19,62.0,0,416,18,4/7,23.11,6.7,20.6,1,0
AC Agar,Australia,3,21,21,67.0,1,464,17,3/27,27.29,6.92,23.6,0,0
DL Chahar,India,1,10,10,35.5,1,251,17,6/7,14.76,7.0,12.6,0,1
AB Dinda,India,3,9,9,30.0,1,245,17,4/19,14.41,8.16,10.5,1,0
CH Gayle,West Indies,13,58,23,53.1,0,377,17,2/15,22.17,7.09,18.7,0,0
Z Khan,India,6,17,17,58.4,0,448,17,4/19,26.35,7.63,20.7,1,0
CK Langeveldt,South Africa,5,9,9,33.0,0,241,17,4/19,14.17,7.3,11.6,1,0
R McLaren,South Africa,5,12,12,43.5,0,332,17,5/19,19.52,7.57,15.4,0,1
EJB Miles,JER,0,14,14,40.0,0,266,17,3/10,15.64,6.65,14.1,0,0
KW Richardson,Australia,5,15,15,56.0,0,447,17,3/18,26.29,7.98,19.7,0,0
Saad Bin Zafar,CAN,0,11,11,43.0,2,285,17,3/8,16.76,6.62,15.1,0,0
SPD Smith,Australia,9,36,17,48.3,1,377,17,3/20,22.17,7.77,17.1,0,0
A Bohara,NEPAL,0,17,16,54.0,0,350,16,4/35,21.87,6.48,20.2,1,0
RS Bopara,England,6,38,21,53.4,1,387,16,4/10,24.18,7.21,20.1,1,0
PVD Chameera,Sri Lanka,3,19,19,67.1,0,574,16,3/30,35.87,8.54,25.1,0,0
E Chigumbura,Zimbabwe,13,54,21,46.0,0,427,16,4/31,26.68,9.28,17.2,1,0
PD Collingwood,England,12,36,20,39.0,0,347,16,4/22,21.68,8.89,14.6,1,0
