Gulbadin Naib,Afganisthan,7,45,37,10,472,56,17.48,393,120.1,0,1,3,33,22
NJ O'Brien,Ireland,8,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7
AD Russell,West Indies,7,47,39,13,465,47,17.88,329,141.33,0,0,6,30,32
PM Seelaar,NL,11,69,40,11,464,96,16.0,423,109.69,0,1,1,31,8
JEC Franklin,New Zealand,7,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
CR Ervine,Zimbabwe,9,22,21,1,461,68,23.05,454,101.54,0,3,1,43,13
A Vala,Papua New Guinea,4,26,24,4,460,68,23.0,427,107.72,0,2,0,39,13
DJ Malan,England,2,9,9,1,458,103,57.25,293,156.31,1,5,0,47,20
JD Ryder,New Zealand,6,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
RE van der Merwe,South Africa,10,43,29,12,454,75,26.7,345,131.59,0,2,4,36,13
Khawar Ali,OMAN,4,29,28,0,453,50,16.17,482,93.98,0,1,2,48,12
MD Gunathilaka,Sri Lanka,3,21,21,0,452,57,21.52,365,123.83,0,2,0,49,12
Mohammad Ashraful,Bangladesh,6,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11
Rameez Shahzad,UAE,3,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13
Usman Ghani,Afganisthan,4,19,19,1,445,73,24.72,407,109.33,0,3,0,44,12
Younis Khan,Pakisthan,4,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12
NR Kumar,CAN,7,18,16,2,434,83,31.0,336,129.16,0,3,1,34,13
MD Shanaka,Sri Lanka,4,35,35,7,434,54,15.5,386,112.43,0,1,7,29,24
N Dickwella,Sri Lanka,3,23,22,0,429,68,19.5,309,138.83,0,1,2,57,8
Muhammad Tanveer,QAT,0,15,15,4,428,57,38.9,331,129.3,0,4,0,36,22
PL Mommsen,SCOT,4,24,19,7,419,68,34.91,329,127.35,0,2,1,32,11
Syed Aziz,MAL,0,14,14,2,415,87,34.58,297,139.73,0,4,2,43,16
RR Pant,India,2,26,24,4,409,65,20.45,336,121.72,0,2,3,28,18
Aqib Ilyas,OMAN,4,22,22,4,408,60,22.66,356,114.6,0,2,1,47,7
TH David,SGP,0,12,12,1,408,77,37.09,274,148.9,0,2,0,36,17
MG Erasmus,NAM,0,16,14,3,407,72,37.0,293,138.9,0,4,0,33,20
